id,name,varId,val,year-month
011200000000,MAŁOPOLSKIE,461680,11.0,2011-01
011200000000,MAŁOPOLSKIE,461680,11.1,2012-01
011200000000,MAŁOPOLSKIE,461680,12.2,2013-01
011200000000,MAŁOPOLSKIE,461680,12.0,2014-01
011200000000,MAŁOPOLSKIE,461680,10.1,2015-01
011200000000,MAŁOPOLSKIE,461680,8.6,2016-01
011200000000,MAŁOPOLSKIE,461680,6.8,2017-01
011200000000,MAŁOPOLSKIE,461680,5.5,2018-01
011200000000,MAŁOPOLSKIE,461680,4.9,2019-01
011200000000,MAŁOPOLSKIE,461680,4.3,2020-01
011200000000,MAŁOPOLSKIE,461680,5.6,2021-01
011200000000,MAŁOPOLSKIE,461680,5.1,2022-01
011200000000,MAŁOPOLSKIE,461680,4.7,2023-01
011200000000,MAŁOPOLSKIE,461680,4.5,2024-01
011200000000,MAŁOPOLSKIE,461680,4.4,2025-01
012400000000,ŚLĄSKIE,461680,10.6,2011-01
012400000000,ŚLĄSKIE,461680,10.8,2012-01
012400000000,ŚLĄSKIE,461680,11.9,2013-01
012400000000,ŚLĄSKIE,461680,11.7,2014-01
012400000000,ŚLĄSKIE,461680,10.0,2015-01
012400000000,ŚLĄSKIE,461680,8.5,2016-01
012400000000,ŚLĄSKIE,461680,6.8,2017-01
012400000000,ŚLĄSKIE,461680,5.3,2018-01
012400000000,ŚLĄSKIE,461680,4.6,2019-01
012400000000,ŚLĄSKIE,461680,3.9,2020-01
012400000000,ŚLĄSKIE,461680,5.2,2021-01
012400000000,ŚLĄSKIE,461680,4.4,2022-01
012400000000,ŚLĄSKIE,461680,4.0,2023-01
012400000000,ŚLĄSKIE,461680,3.8,2024-01
012400000000,ŚLĄSKIE,461680,3.9,2025-01
020800000000,LUBUSKIE,461680,16.6,2011-01
020800000000,LUBUSKIE,461680,16.5,2012-01
020800000000,LUBUSKIE,461680,17.1,2013-01
020800000000,LUBUSKIE,461680,16.5,2014-01
020800000000,LUBUSKIE,461680,13.1,2015-01
020800000000,LUBUSKIE,461680,11.2,2016-01
020800000000,LUBUSKIE,461680,8.9,2017-01
020800000000,LUBUSKIE,461680,7.0,2018-01
020800000000,LUBUSKIE,461680,6.2,2019-01
020800000000,LUBUSKIE,461680,5.3,2020-01
020800000000,LUBUSKIE,461680,6.6,2021-01
020800000000,LUBUSKIE,461680,5.2,2022-01
020800000000,LUBUSKIE,461680,4.8,2023-01
020800000000,LUBUSKIE,461680,4.7,2024-01
020800000000,LUBUSKIE,461680,4.8,2025-01
023000000000,WIELKOPOLSKIE,461680,9.9,2011-01
023000000000,WIELKOPOLSKIE,461680,9.7,2012-01
023000000000,WIELKOPOLSKIE,461680,10.5,2013-01
023000000000,WIELKOPOLSKIE,461680,10.0,2014-01
023000000000,WIELKOPOLSKIE,461680,8.0,2015-01
023000000000,WIELKOPOLSKIE,461680,6.4,2016-01
023000000000,WIELKOPOLSKIE,461680,5.1,2017-01
023000000000,WIELKOPOLSKIE,461680,3.8,2018-01
023000000000,WIELKOPOLSKIE,461680,3.3,2019-01
023000000000,WIELKOPOLSKIE,461680,3.1,2020-01
023000000000,WIELKOPOLSKIE,461680,3.9,2021-01
023000000000,WIELKOPOLSKIE,461680,3.3,2022-01
023000000000,WIELKOPOLSKIE,461680,3.2,2023-01
023000000000,WIELKOPOLSKIE,461680,3.2,2024-01
023000000000,WIELKOPOLSKIE,461680,3.3,2025-01
023200000000,ZACHODNIOPOMORSKIE,461680,18.8,2011-01
023200000000,ZACHODNIOPOMORSKIE,461680,18.5,2012-01
023200000000,ZACHODNIOPOMORSKIE,461680,19.3,2013-01
023200000000,ZACHODNIOPOMORSKIE,461680,18.7,2014-01
023200000000,ZACHODNIOPOMORSKIE,461680,16.3,2015-01
023200000000,ZACHODNIOPOMORSKIE,461680,13.8,2016-01
023200000000,ZACHODNIOPOMORSKIE,461680,11.4,2017-01
023200000000,ZACHODNIOPOMORSKIE,461680,8.9,2018-01
023200000000,ZACHODNIOPOMORSKIE,461680,7.8,2019-01
023200000000,ZACHODNIOPOMORSKIE,461680,7.2,2020-01
023200000000,ZACHODNIOPOMORSKIE,461680,8.8,2021-01
023200000000,ZACHODNIOPOMORSKIE,461680,7.5,2022-01
023200000000,ZACHODNIOPOMORSKIE,461680,7.2,2023-01
023200000000,ZACHODNIOPOMORSKIE,461680,7.2,2024-01
023200000000,ZACHODNIOPOMORSKIE,461680,7.2,2025-01
030200000000,DOLNOŚLĄSKIE,461680,13.8,2011-01
030200000000,DOLNOŚLĄSKIE,461680,13.2,2012-01
030200000000,DOLNOŚLĄSKIE,461680,14.3,2013-01
030200000000,DOLNOŚLĄSKIE,461680,13.6,2014-01
030200000000,DOLNOŚLĄSKIE,461680,10.9,2015-01
030200000000,DOLNOŚLĄSKIE,461680,8.9,2016-01
030200000000,DOLNOŚLĄSKIE,461680,7.5,2017-01
030200000000,DOLNOŚLĄSKIE,461680,5.9,2018-01
030200000000,DOLNOŚLĄSKIE,461680,5.4,2019-01
030200000000,DOLNOŚLĄSKIE,461680,4.9,2020-01
030200000000,DOLNOŚLĄSKIE,461680,5.8,2021-01
030200000000,DOLNOŚLĄSKIE,461680,5.0,2022-01
030200000000,DOLNOŚLĄSKIE,461680,4.8,2023-01
030200000000,DOLNOŚLĄSKIE,461680,4.7,2024-01
030200000000,DOLNOŚLĄSKIE,461680,5.0,2025-01
031600000000,OPOLSKIE,461680,14.6,2011-01
031600000000,OPOLSKIE,461680,14.1,2012-01
031600000000,OPOLSKIE,461680,15.4,2013-01
031600000000,OPOLSKIE,461680,15.0,2014-01
031600000000,OPOLSKIE,461680,12.3,2015-01
031600000000,OPOLSKIE,461680,10.6,2016-01
031600000000,OPOLSKIE,461680,9.3,2017-01
031600000000,OPOLSKIE,461680,7.5,2018-01
031600000000,OPOLSKIE,461680,6.5,2019-01
031600000000,OPOLSKIE,461680,6.1,2020-01
031600000000,OPOLSKIE,461680,7.3,2021-01
031600000000,OPOLSKIE,461680,6.6,2022-01
031600000000,OPOLSKIE,461680,6.3,2023-01
031600000000,OPOLSKIE,461680,6.2,2024-01
031600000000,OPOLSKIE,461680,6.3,2025-01
040400000000,KUJAWSKO-POMORSKIE,461680,17.8,2011-01
040400000000,KUJAWSKO-POMORSKIE,461680,17.8,2012-01
040400000000,KUJAWSKO-POMORSKIE,461680,19.0,2013-01
040400000000,KUJAWSKO-POMORSKIE,461680,18.8,2014-01
040400000000,KUJAWSKO-POMORSKIE,461680,16.1,2015-01
040400000000,KUJAWSKO-POMORSKIE,461680,13.8,2016-01
040400000000,KUJAWSKO-POMORSKIE,461680,12.4,2017-01
040400000000,KUJAWSKO-POMORSKIE,461680,10.3,2018-01
040400000000,KUJAWSKO-POMORSKIE,461680,9.2,2019-01
040400000000,KUJAWSKO-POMORSKIE,461680,8.3,2020-01
040400000000,KUJAWSKO-POMORSKIE,461680,9.4,2021-01
040400000000,KUJAWSKO-POMORSKIE,461680,8.3,2022-01
040400000000,KUJAWSKO-POMORSKIE,461680,7.8,2023-01
040400000000,KUJAWSKO-POMORSKIE,461680,7.6,2024-01
040400000000,KUJAWSKO-POMORSKIE,461680,7.7,2025-01
042200000000,POMORSKIE,461680,13.2,2011-01
042200000000,POMORSKIE,461680,13.3,2012-01
042200000000,POMORSKIE,461680,14.3,2013-01
042200000000,POMORSKIE,461680,13.7,2014-01
042200000000,POMORSKIE,461680,11.6,2015-01
042200000000,POMORSKIE,461680,9.3,2016-01
042200000000,POMORSKIE,461680,7.3,2017-01
042200000000,POMORSKIE,461680,5.6,2018-01
042200000000,POMORSKIE,461680,5.2,2019-01
042200000000,POMORSKIE,461680,4.8,2020-01
042200000000,POMORSKIE,461680,6.3,2021-01
042200000000,POMORSKIE,461680,5.3,2022-01
042200000000,POMORSKIE,461680,4.9,2023-01
042200000000,POMORSKIE,461680,4.9,2024-01
042200000000,POMORSKIE,461680,4.9,2025-01
042800000000,WARMIŃSKO-MAZURSKIE,461680,21.1,2011-01
042800000000,WARMIŃSKO-MAZURSKIE,461680,21.2,2012-01
042800000000,WARMIŃSKO-MAZURSKIE,461680,22.4,2013-01
042800000000,WARMIŃSKO-MAZURSKIE,461680,22.4,2014-01
042800000000,WARMIŃSKO-MAZURSKIE,461680,19.5,2015-01
042800000000,WARMIŃSKO-MAZURSKIE,461680,16.9,2016-01
042800000000,WARMIŃSKO-MAZURSKIE,461680,14.7,2017-01
042800000000,WARMIŃSKO-MAZURSKIE,461680,12.2,2018-01
042800000000,WARMIŃSKO-MAZURSKIE,461680,10.9,2019-01
042800000000,WARMIŃSKO-MAZURSKIE,461680,9.7,2020-01
042800000000,WARMIŃSKO-MAZURSKIE,461680,10.7,2021-01
042800000000,WARMIŃSKO-MAZURSKIE,461680,9.6,2022-01
042800000000,WARMIŃSKO-MAZURSKIE,461680,9.2,2023-01
042800000000,WARMIŃSKO-MAZURSKIE,461680,9.0,2024-01
042800000000,WARMIŃSKO-MAZURSKIE,461680,9.0,2025-01
011200000000,MAŁOPOLSKIE,461681,11.2,2011-02
011200000000,MAŁOPOLSKIE,461681,11.3,2012-02
011200000000,MAŁOPOLSKIE,461681,12.5,2013-02
011200000000,MAŁOPOLSKIE,461681,12.0,2014-02
011200000000,MAŁOPOLSKIE,461681,10.1,2015-02
011200000000,MAŁOPOLSKIE,461681,8.7,2016-02
011200000000,MAŁOPOLSKIE,461681,6.7,2017-02
011200000000,MAŁOPOLSKIE,461681,5.5,2018-02
011200000000,MAŁOPOLSKIE,461681,4.9,2019-02
011200000000,MAŁOPOLSKIE,461681,4.3,2020-02
011200000000,MAŁOPOLSKIE,461681,5.6,2021-02
011200000000,MAŁOPOLSKIE,461681,5.1,2022-02
011200000000,MAŁOPOLSKIE,461681,4.7,2023-02
011200000000,MAŁOPOLSKIE,461681,4.5,2024-02
011200000000,MAŁOPOLSKIE,461681,4.5,2025-02
012400000000,ŚLĄSKIE,461681,10.8,2011-02
012400000000,ŚLĄSKIE,461681,11.1,2012-02
012400000000,ŚLĄSKIE,461681,12.1,2013-02
012400000000,ŚLĄSKIE,461681,11.7,2014-02
012400000000,ŚLĄSKIE,461681,10.0,2015-02
012400000000,ŚLĄSKIE,461681,8.5,2016-02
012400000000,ŚLĄSKIE,461681,6.7,2017-02
012400000000,ŚLĄSKIE,461681,5.3,2018-02
012400000000,ŚLĄSKIE,461681,4.5,2019-02
012400000000,ŚLĄSKIE,461681,3.9,2020-02
012400000000,ŚLĄSKIE,461681,5.2,2021-02
012400000000,ŚLĄSKIE,461681,4.4,2022-02
012400000000,ŚLĄSKIE,461681,4.0,2023-02
012400000000,ŚLĄSKIE,461681,3.9,2024-02
012400000000,ŚLĄSKIE,461681,3.9,2025-02
020800000000,LUBUSKIE,461681,16.6,2011-02
020800000000,LUBUSKIE,461681,16.7,2012-02
020800000000,LUBUSKIE,461681,17.2,2013-02
020800000000,LUBUSKIE,461681,16.3,2014-02
020800000000,LUBUSKIE,461681,12.9,2015-02
020800000000,LUBUSKIE,461681,11.0,2016-02
020800000000,LUBUSKIE,461681,8.6,2017-02
020800000000,LUBUSKIE,461681,6.9,2018-02
020800000000,LUBUSKIE,461681,6.1,2019-02
020800000000,LUBUSKIE,461681,5.3,2020-02
020800000000,LUBUSKIE,461681,6.6,2021-02
020800000000,LUBUSKIE,461681,5.1,2022-02
020800000000,LUBUSKIE,461681,4.8,2023-02
020800000000,LUBUSKIE,461681,4.8,2024-02
020800000000,LUBUSKIE,461681,4.9,2025-02
023000000000,WIELKOPOLSKIE,461681,10.1,2011-02
023000000000,WIELKOPOLSKIE,461681,10.0,2012-02
023000000000,WIELKOPOLSKIE,461681,10.8,2013-02
023000000000,WIELKOPOLSKIE,461681,10.0,2014-02
023000000000,WIELKOPOLSKIE,461681,8.1,2015-02
023000000000,WIELKOPOLSKIE,461681,6.4,2016-02
023000000000,WIELKOPOLSKIE,461681,5.1,2017-02
023000000000,WIELKOPOLSKIE,461681,3.9,2018-02
023000000000,WIELKOPOLSKIE,461681,3.3,2019-02
023000000000,WIELKOPOLSKIE,461681,3.1,2020-02
023000000000,WIELKOPOLSKIE,461681,4.0,2021-02
023000000000,WIELKOPOLSKIE,461681,3.3,2022-02
023000000000,WIELKOPOLSKIE,461681,3.2,2023-02
023000000000,WIELKOPOLSKIE,461681,3.3,2024-02
023000000000,WIELKOPOLSKIE,461681,3.3,2025-02
023200000000,ZACHODNIOPOMORSKIE,461681,19.0,2011-02
023200000000,ZACHODNIOPOMORSKIE,461681,18.8,2012-02
023200000000,ZACHODNIOPOMORSKIE,461681,19.4,2013-02
023200000000,ZACHODNIOPOMORSKIE,461681,18.5,2014-02
023200000000,ZACHODNIOPOMORSKIE,461681,16.1,2015-02
023200000000,ZACHODNIOPOMORSKIE,461681,13.8,2016-02
023200000000,ZACHODNIOPOMORSKIE,461681,11.2,2017-02
023200000000,ZACHODNIOPOMORSKIE,461681,8.8,2018-02
023200000000,ZACHODNIOPOMORSKIE,461681,7.8,2019-02
023200000000,ZACHODNIOPOMORSKIE,461681,7.2,2020-02
023200000000,ZACHODNIOPOMORSKIE,461681,8.8,2021-02
023200000000,ZACHODNIOPOMORSKIE,461681,7.5,2022-02
023200000000,ZACHODNIOPOMORSKIE,461681,7.2,2023-02
023200000000,ZACHODNIOPOMORSKIE,461681,7.3,2024-02
023200000000,ZACHODNIOPOMORSKIE,461681,7.3,2025-02
030200000000,DOLNOŚLĄSKIE,461681,14.1,2011-02
030200000000,DOLNOŚLĄSKIE,461681,13.5,2012-02
030200000000,DOLNOŚLĄSKIE,461681,14.6,2013-02
030200000000,DOLNOŚLĄSKIE,461681,13.6,2014-02
030200000000,DOLNOŚLĄSKIE,461681,10.9,2015-02
030200000000,DOLNOŚLĄSKIE,461681,9.0,2016-02
030200000000,DOLNOŚLĄSKIE,461681,7.4,2017-02
030200000000,DOLNOŚLĄSKIE,461681,5.9,2018-02
030200000000,DOLNOŚLĄSKIE,461681,5.4,2019-02
030200000000,DOLNOŚLĄSKIE,461681,4.9,2020-02
030200000000,DOLNOŚLĄSKIE,461681,5.9,2021-02
030200000000,DOLNOŚLĄSKIE,461681,5.0,2022-02
030200000000,DOLNOŚLĄSKIE,461681,4.8,2023-02
030200000000,DOLNOŚLĄSKIE,461681,4.9,2024-02
030200000000,DOLNOŚLĄSKIE,461681,5.0,2025-02
031600000000,OPOLSKIE,461681,14.7,2011-02
031600000000,OPOLSKIE,461681,14.5,2012-02
031600000000,OPOLSKIE,461681,15.7,2013-02
031600000000,OPOLSKIE,461681,14.8,2014-02
031600000000,OPOLSKIE,461681,12.3,2015-02
031600000000,OPOLSKIE,461681,10.6,2016-02
031600000000,OPOLSKIE,461681,9.2,2017-02
031600000000,OPOLSKIE,461681,7.3,2018-02
031600000000,OPOLSKIE,461681,6.4,2019-02
031600000000,OPOLSKIE,461681,6.1,2020-02
031600000000,OPOLSKIE,461681,7.3,2021-02
031600000000,OPOLSKIE,461681,6.5,2022-02
031600000000,OPOLSKIE,461681,6.4,2023-02
031600000000,OPOLSKIE,461681,6.2,2024-02
031600000000,OPOLSKIE,461681,6.3,2025-02
040400000000,KUJAWSKO-POMORSKIE,461681,18.1,2011-02
040400000000,KUJAWSKO-POMORSKIE,461681,18.1,2012-02
040400000000,KUJAWSKO-POMORSKIE,461681,19.3,2013-02
040400000000,KUJAWSKO-POMORSKIE,461681,18.8,2014-02
040400000000,KUJAWSKO-POMORSKIE,461681,16.0,2015-02
040400000000,KUJAWSKO-POMORSKIE,461681,13.9,2016-02
040400000000,KUJAWSKO-POMORSKIE,461681,12.3,2017-02
040400000000,KUJAWSKO-POMORSKIE,461681,10.2,2018-02
040400000000,KUJAWSKO-POMORSKIE,461681,9.1,2019-02
040400000000,KUJAWSKO-POMORSKIE,461681,8.2,2020-02
040400000000,KUJAWSKO-POMORSKIE,461681,9.4,2021-02
040400000000,KUJAWSKO-POMORSKIE,461681,8.2,2022-02
040400000000,KUJAWSKO-POMORSKIE,461681,7.8,2023-02
040400000000,KUJAWSKO-POMORSKIE,461681,7.6,2024-02
040400000000,KUJAWSKO-POMORSKIE,461681,7.7,2025-02
042200000000,POMORSKIE,461681,13.5,2011-02
042200000000,POMORSKIE,461681,13.5,2012-02
042200000000,POMORSKIE,461681,14.6,2013-02
042200000000,POMORSKIE,461681,13.7,2014-02
042200000000,POMORSKIE,461681,11.6,2015-02
042200000000,POMORSKIE,461681,9.3,2016-02
042200000000,POMORSKIE,461681,7.2,2017-02
042200000000,POMORSKIE,461681,5.6,2018-02
042200000000,POMORSKIE,461681,5.2,2019-02
042200000000,POMORSKIE,461681,4.8,2020-02
042200000000,POMORSKIE,461681,6.3,2021-02
042200000000,POMORSKIE,461681,5.3,2022-02
042200000000,POMORSKIE,461681,5.0,2023-02
042200000000,POMORSKIE,461681,5.0,2024-02
042200000000,POMORSKIE,461681,5.0,2025-02
042800000000,WARMIŃSKO-MAZURSKIE,461681,21.6,2011-02
042800000000,WARMIŃSKO-MAZURSKIE,461681,21.5,2012-02
042800000000,WARMIŃSKO-MAZURSKIE,461681,22.6,2013-02
042800000000,WARMIŃSKO-MAZURSKIE,461681,22.2,2014-02
042800000000,WARMIŃSKO-MAZURSKIE,461681,19.5,2015-02
042800000000,WARMIŃSKO-MAZURSKIE,461681,16.9,2016-02
042800000000,WARMIŃSKO-MAZURSKIE,461681,14.6,2017-02
042800000000,WARMIŃSKO-MAZURSKIE,461681,12.1,2018-02
042800000000,WARMIŃSKO-MAZURSKIE,461681,10.9,2019-02
042800000000,WARMIŃSKO-MAZURSKIE,461681,9.7,2020-02
042800000000,WARMIŃSKO-MAZURSKIE,461681,10.8,2021-02
042800000000,WARMIŃSKO-MAZURSKIE,461681,9.5,2022-02
042800000000,WARMIŃSKO-MAZURSKIE,461681,9.2,2023-02
042800000000,WARMIŃSKO-MAZURSKIE,461681,9.0,2024-02
042800000000,WARMIŃSKO-MAZURSKIE,461681,9.0,2025-02
011200000000,MAŁOPOLSKIE,461682,11.1,2011-03
011200000000,MAŁOPOLSKIE,461682,11.3,2012-03
011200000000,MAŁOPOLSKIE,461682,12.4,2013-03
011200000000,MAŁOPOLSKIE,461682,11.7,2014-03
011200000000,MAŁOPOLSKIE,461682,9.9,2015-03
011200000000,MAŁOPOLSKIE,461682,8.4,2016-03
011200000000,MAŁOPOLSKIE,461682,6.4,2017-03
011200000000,MAŁOPOLSKIE,461682,5.3,2018-03
011200000000,MAŁOPOLSKIE,461682,4.7,2019-03
011200000000,MAŁOPOLSKIE,461682,4.3,2020-03
011200000000,MAŁOPOLSKIE,461682,5.5,2021-03
011200000000,MAŁOPOLSKIE,461682,5.0,2022-03
011200000000,MAŁOPOLSKIE,461682,4.6,2023-03
011200000000,MAŁOPOLSKIE,461682,4.4,2024-03
011200000000,MAŁOPOLSKIE,461682,4.4,2025-03
012400000000,ŚLĄSKIE,461682,10.8,2011-03
012400000000,ŚLĄSKIE,461682,11.0,2012-03
012400000000,ŚLĄSKIE,461682,12.0,2013-03
012400000000,ŚLĄSKIE,461682,11.4,2014-03
012400000000,ŚLĄSKIE,461682,9.8,2015-03
012400000000,ŚLĄSKIE,461682,8.2,2016-03
012400000000,ŚLĄSKIE,461682,6.5,2017-03
012400000000,ŚLĄSKIE,461682,5.1,2018-03
012400000000,ŚLĄSKIE,461682,4.4,2019-03
012400000000,ŚLĄSKIE,461682,3.9,2020-03
012400000000,ŚLĄSKIE,461682,5.2,2021-03
012400000000,ŚLĄSKIE,461682,4.4,2022-03
012400000000,ŚLĄSKIE,461682,3.9,2023-03
012400000000,ŚLĄSKIE,461682,3.8,2024-03
012400000000,ŚLĄSKIE,461682,3.9,2025-03
020800000000,LUBUSKIE,461682,16.3,2011-03
020800000000,LUBUSKIE,461682,16.4,2012-03
020800000000,LUBUSKIE,461682,16.9,2013-03
020800000000,LUBUSKIE,461682,15.7,2014-03
020800000000,LUBUSKIE,461682,12.5,2015-03
020800000000,LUBUSKIE,461682,10.5,2016-03
020800000000,LUBUSKIE,461682,8.2,2017-03
020800000000,LUBUSKIE,461682,6.5,2018-03
020800000000,LUBUSKIE,461682,5.8,2019-03
020800000000,LUBUSKIE,461682,5.2,2020-03
020800000000,LUBUSKIE,461682,6.3,2021-03
020800000000,LUBUSKIE,461682,5.0,2022-03
020800000000,LUBUSKIE,461682,4.7,2023-03
020800000000,LUBUSKIE,461682,4.6,2024-03
020800000000,LUBUSKIE,461682,4.8,2025-03
023000000000,WIELKOPOLSKIE,461682,9.9,2011-03
023000000000,WIELKOPOLSKIE,461682,9.9,2012-03
023000000000,WIELKOPOLSKIE,461682,10.7,2013-03
023000000000,WIELKOPOLSKIE,461682,9.6,2014-03
023000000000,WIELKOPOLSKIE,461682,7.8,2015-03
023000000000,WIELKOPOLSKIE,461682,6.2,2016-03
023000000000,WIELKOPOLSKIE,461682,4.9,2017-03
023000000000,WIELKOPOLSKIE,461682,3.7,2018-03
023000000000,WIELKOPOLSKIE,461682,3.2,2019-03
023000000000,WIELKOPOLSKIE,461682,3.1,2020-03
023000000000,WIELKOPOLSKIE,461682,3.9,2021-03
